제요금입력역명,제요금입력일자,제요금일련번호,운송장접수일자,운송장번호,사용신청역명,지시일자,지시번호,화통입력일자,화통번호,화차차량번호,화물운송1단가,화물운송2단가,화물운송3단가,화차1차량수,화차2차량수,화차3차량수,화물지시종류,전세열차번호,최초등록일시,최종변경일시
적량,2012-03-26,1,40990,54121,적량,2012-03-26,1,2012-03-22,26437,20826,24700,24700,0,1,1,1,착역변경 ,,2012-03-26 16:31,2012-03-26 16:31
적량,2012-03-26,2,40990,54121,적량,2012-03-26,2,2012-03-22,26436,20717,24700,24700,0,1,1,1,착역변경 ,,2012-03-26 16:31,2012-03-26 16:31
적량,2012-03-26,3,40990,54121,적량,2012-03-26,3,2012-03-22,26435,20548,24700,24700,0,1,1,1,착역변경 ,,2012-03-26 16:31,2012-03-26 16:31
적량,2012-04-07,1,41005,59835,적량,2012-04-07,1,2012-04-06,87405,20826,24700,24700,0,1,1,1,착역변경 ,,2012-04-07 15:10,2012-04-07 15:10
적량,2012-04-07,2,41005,59835,적량,2012-04-07,2,2012-04-06,87404,20600,24700,24700,0,1,1,1,착역변경 ,,2012-04-07 15:11,2012-04-07 15:11
적량,2012-04-07,3,41005,59835,적량,2012-04-07,3,2012-04-06,87402,20474,24700,24700,0,1,1,1,착역변경 ,,2012-04-07 15:11,2012-04-07 15:11
흥국사,2012-04-10,1,,,흥국사,2012-04-10,1,2012-04-10,22109,70590,24700,24700,0,1,1,1,착역변경 ,,2012-04-10 17:33,2012-04-12 11:10
괴동,2012-04-18,1,41013,12975,괴동,2012-04-18,1,2012-04-16,43175,70935,24700,24700,0,1,1,1,착역변경 ,,2012-04-18 13:06,2012-04-18 13:06
괴동,2012-04-18,2,41013,12975,괴동,2012-04-18,2,2012-04-16,43176,70952,24700,24700,0,1,1,1,착역변경 ,,2012-04-18 13:07,2012-04-18 13:07
괴동,2012-04-18,3,41013,13052,괴동,2012-04-18,9,2012-04-17,47497,71180,24700,24700,0,1,1,1,착역변경 ,,2012-04-18 15:01,2012-04-18 15:01
괴동,2012-04-18,4,41013,13052,괴동,2012-04-18,10,2012-04-17,47496,71047,24700,24700,0,1,1,1,착역변경 ,,2012-04-18 15:01,2012-04-18 15:01
괴동,2012-04-18,5,41013,12984,괴동,2012-04-18,3,2012-04-17,47451,70961,24700,24700,0,1,1,1,착역변경 ,,2012-04-18 15:01,2012-04-18 15:01
괴동,2012-04-18,6,41013,12984,괴동,2012-04-18,4,2012-04-17,47450,70951,24700,24700,0,1,1,1,착역변경 ,,2012-04-18 15:01,2012-04-18 15:01
괴동,2012-04-18,7,41013,12984,괴동,2012-04-18,5,2012-04-17,47449,70942,24700,24700,0,1,1,1,착역변경 ,,2012-04-18 15:01,2012-04-18 15:01
괴동,2012-04-18,8,41013,12984,괴동,2012-04-18,6,2012-04-17,47448,70930,24700,24700,0,1,1,1,착역변경 ,,2012-04-18 15:01,2012-04-18 15:01
괴동,2012-04-18,9,41013,12984,괴동,2012-04-18,7,2012-04-17,47447,70928,24700,24700,0,1,1,1,착역변경 ,,2012-04-18 15:01,2012-04-18 15:01
괴동,2012-04-18,10,41013,12984,괴동,2012-04-18,8,2012-04-17,47446,70891,24700,24700,0,1,1,1,착역변경 ,,2012-04-18 15:01,2012-04-18 15:01
울산,2012-04-24,1,41019,15407,울산,2012-04-24,1,2012-04-24,76407,971003,0,24700,351700,1,1,1,탁송취소,,2012-04-24 14:11,2012-04-24 14:11
온산,2012-04-26,2,41019,15074,온산,2012-04-26,1,2012-04-24,75121,945035,24700,24700,0,1,1,1,발역송환,,2012-04-26 17:41,2012-04-26 17:41
태금,2012-04-26,1,41025,17489,태금,2012-04-26,1,2012-04-26,87000,922036,0,24700,351700,1,1,1,탁송취소,,2012-04-26 19:37,2012-04-26 19:37
