제요금입력역명,제요금입력일자,제요금일련번호,화차차량번호,지시번호,운송장번호,화통번호,단가기준1일자,단가기준1시각,단가기준2일자,단가기준2시각,화차요금,최초등록일시,최종변경일시
의왕,2004-07-01,6,975234,10,10135,12924,2004-07-01,15:15,2004-07-01,20:20,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-07-01,6,975270,11,10135,12925,2004-07-01,15:15,2004-07-01,20:20,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-07-02,1,70047,2,10171,12981,, ,2004-07-02,11:18,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-07-02,1,70091,3,10171,12982,, ,2004-07-02,11:18,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-07-02,1,976113,4,10171,12983,, ,2004-07-02,11:18,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-07-02,1,976422,5,10171,12984,, ,2004-07-02,11:18,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-07-02,1,976526,6,10171,12985,, ,2004-07-02,11:18,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-07-02,1,976631,7,10171,12986,, ,2004-07-02,11:18,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-07-02,2,70573,11,10222,13314,2004-07-02,17:03,2004-07-02,21:30,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-07-15,1,70529,8,11043,12621,2004-07-15,17:58,2004-07-15,21:20,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-07-19,1,70027,5,11276,13510,, ,2004-07-19,20:22,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-07-19,1,70728,6,11276,13511,, ,2004-07-19,20:22,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-07-19,1,976634,7,11276,13512,, ,2004-07-19,20:22,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-07-19,1,976870,8,11276,13513,, ,2004-07-19,20:22,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-07-24,1,70224,1,11643,11585,2004-07-24,16:42,2004-07-24,20:30,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-07-24,1,70473,2,11643,11586,2004-07-24,16:42,2004-07-24,20:30,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-07-24,1,70528,3,11643,11587,2004-07-24,16:42,2004-07-24,20:30,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-07-26,1,1,2,11777,0,2004-07-26,16:43,, ,0,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-07-26,2,70419,3,11792,12174,, ,2004-07-26,22:35,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-07-27,1,976634,1,11825,12444,2004-07-27,16:05,2004-07-27,21:37,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-08-05,1,70579,4,12399,11607,2004-08-05,15:41,2004-08-05,20:30,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-08-09,1,763017,2,12569,12142,2004-08-09,15:47,2004-08-09,22:00,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-08-12,1,70068,3,12771,12888,2004-08-12,15:15,2004-08-12,22:58,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-08-12,1,70146,4,12771,12889,2004-08-12,15:15,2004-08-12,22:58,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-08-12,1,70451,5,12771,12890,2004-08-12,15:15,2004-08-12,22:58,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-08-12,2,70451,6,12766,12891,2004-08-12,15:15,2004-08-12,23:00,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-08-16,1,70353,4,13017,10068,, ,2004-08-16,19:30,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-08-16,1,70370,5,13017,10069,, ,2004-08-16,19:30,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-08-16,1,70635,6,13017,10070,, ,2004-08-16,19:30,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-08-27,1,760875,1,13716,13570,2004-08-27,16:00,2004-08-27,20:30,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-08-30,1,70112,2,13921,11057,, ,2004-08-30,21:07,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-09-02,1,70311,1,14065,11872,, ,2004-09-02,11:00,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-09-02,1,70551,2,14065,11873,, ,2004-09-02,11:00,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-09-02,1,70735,3,14065,11874,, ,2004-09-02,11:00,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-09-07,1,70392,1,14349,13429,2004-09-07,15:02,2004-09-07,20:00,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-09-07,2,70392,3,14367,13454,2004-09-07,15:02,2004-09-07,20:15,22500,2011-12-08 18:18,2011-12-08 18:18
의왕,2004-09-07,3,70392,4,14370,13459,2004-09-07,15:02,2004-09-07,21:00,22500,2011-12-08 18:18,2011-12-08 18:18
