역명,물류시설일련번호,지역본부명,구역구분명,설치일자,운용개시일자,조성일자,기부채납일자,사용시작일자,사용종료일자,무상사용시작일자,무상사용종료일자,시설자산여부,시설자산사용면적수,시설자산전체면적수,운영자산여부,운영자산사용면적수,운영자산전체면적수,기타자산여부,기타자산사용면적수,기타자산전체면적수,부지사용면적수,부지전체면적수,연간사용요금내역,연간수입내역,연간적정수송면적수,최초등록일시,최종변경일시,최대작업수량,작업선유효장
가야,1,부산경남본부,,,1996-04-01,,,1996-04-01,2016-08-08,,,0,,,1,558,558,0,,,558,558,,,,2011-09-01 00:00,2016-08-05 17:42,,
가야,2,부산경남본부,,,1996-04-01,,,1996-04-01,9999-12-31,,,0,,,0,578,578,0,,,578,578,,2328524000,,2011-09-01 00:00,2016-09-01 09:46,,
가야,3,부산경남본부,,,1996-04-01,,,1996-04-01,9999-12-31,,,0,,,Y,9186,10030,0,,,9186,10030,,150757200,,2011-09-01 00:00,2016-09-01 09:45,,
강릉,1,강원본부,,,2005-04-01,,,2005-04-01,2014-03-31,,,0,,,0,,,1,1000,1000,1000,1000,,432000000,5,2011-09-01 00:00,2016-08-09 10:39,,
광양항,1,전남본부,동측,,1998-12-30,,,1998-12-30,2014-04-10,,,0,,,0,,,Y,59657,59657,59657,59657,,8600000000,213,2011-09-01 00:00,2016-08-23 18:42,,
신군산,1,전북본부,,,2008-08-01,,,2008-08-01,9999-12-31,,,0,,,0,,,Y,16500,16500,16500,16500,,2569000000,24,2011-09-01 00:00,2016-08-08 10:41,,
동산,1,전북본부,,,1989-01-23,,,1989-01-23,9999-12-31,,,0,,,Y,12352,12352,0,,,12352,12352,,202473984,16,2011-09-01 00:00,2013-10-15 14:25,,
동익산,1,전북본부,,,1994-01-17,,,1994-01-17,9999-12-31,,,0,,,0,,,Y,14580,14580,14580,14580,,1600000000,33,2011-09-01 00:00,2016-08-08 10:42,,
두정,1,대전충남본부,,,2002-07-01,,,2002-07-01,9999-12-31,,,0,,,0,4667,4667,Y,0,5350,4667,10017,,300000000,10,2011-09-01 00:00,2016-08-12 17:49,14,17
부산진,1,부산경남본부,제1단지,,1972-09-18,,,1972-09-18,2016-08-31,,,0,,,Y,67686,67686,0,,,67686,67686,,22677000000,272,2011-09-01 00:00,2016-08-29 15:41,,
부산진,2,부산경남본부,제2단지,,1993-04-28,,,1993-04-28,2016-08-31,,,0,,,Y,17730,17730,0,,,17730,17730,,,60,2011-09-01 00:00,2016-08-08 17:40,,
부산진,3,부산경남본부,제3단지,,1988-05-12,,,1988-05-12,2016-08-31,,,0,,,Y,27780,32260,0,,,27780,32260,,1225870500,102,2011-09-01 00:00,2016-08-08 17:41,,
삽교,1,대전충남본부,,,2008-11-28,,,2008-11-28,9999-12-31,,,0,,,0,,,Y,14850,14850,14850,14850,,2895000000,27,2011-09-01 00:00,2023-10-18 15:45,25,33
삽교,2,대전충남본부,,,2008-11-28,,,2008-11-28,9999-12-31,,,0,,,0,,,1,1650,1650,1650,1650,,598000000,27,2011-09-01 00:00,2023-10-18 15:45,,
