첨부파일_아이디(ID),역명,물류시설일련번호,사진설명,원본파일명,첨부파일명,첨부파일크기,최초등록일시,최종변경일시
1,수색,1,"경의선, 서울특별시 은평구 수색동",수색_싸이로_항공사진.jpg,2011092114500100.jpg,561420,2011-09-01 00:00,2022-06-09 14:35
2,수색,1,"쌍용, 한일, 성신, 신무림제지",수색_싸이로_시설물사진.jpg,2011092114500101.jpg,342067,2011-09-01 00:00,2022-06-09 14:35
3,수색,1,"경의선, 서기(환) 8k. 177",수색_싸이로_배선약도.jpg,2011092114500102.jpg,183669,2011-09-01 00:00,2022-06-09 14:35
4,수색,1,"상세도(한일, 쌍용)",수색_싸이로_배선약도_쌍용한일_상세도.jpg,2011092114500103.jpg,23443,2011-09-01 00:00,2022-06-09 14:35
5,수색,1,"작업장 전경(쌍용, 한일)",수색_싸이로_현장사진_쌍용한일_작업장 전경.jpg,2011092114500104.jpg,14191,2011-09-01 00:00,2022-06-09 14:35
6,수색,1,"작업장 측면(쌍용, 한일)",수색_싸이로_현장사진_쌍용한일_작업장 측면.jpg,2011092114500105.jpg,11813,2011-09-01 00:00,2022-06-09 14:35
7,수색,2,상세도(성신),수색_싸이로_배선약도_성신_상세도.jpg,2011092114520200.jpg,24407,2011-09-01 00:00,2011-09-01 00:00
8,수색,2,작업장 앞면(성신양회),수색_싸이로_현장사진_성신양회_작업장 앞면.jpg,2011092114520201.jpg,15671,2011-09-01 00:00,2011-09-01 00:00
9,수색,2,작업장 뒷면(성신양회),수색_싸이로_현장사진_성신양회_작업장 뒷면.jpg,2011092114520202.jpg,15360,2011-09-01 00:00,2011-09-01 00:00
10,간치,1,"장항선, 충남 보령시 주산면",간치_싸이로_항공사진.jpg,2011092114560100.jpg,410801,2011-09-01 00:00,2016-08-12 18:00
11,간치,1,현대,간치_싸이로_시설물사진.jpg,2011092114560101.jpg,202588,2011-09-01 00:00,2016-08-12 18:00
12,간치,1,"장항선, 천기(환) 105km.400",간치_싸이로_배선약도.jpg,2011092114560102.jpg,118008,2011-09-01 00:00,2016-08-12 18:00
13,간치,1,간치역 구내,간치_싸이로_현장사진_간치역 구내.jpg,2011092114560103.jpg,15630,2011-09-01 00:00,2016-08-12 18:00
14,간치,1,현대시멘트 정문,간치_싸이로_현장사진_현대시멘트 정문.jpg,2011092114560104.jpg,16671,2011-09-01 00:00,2016-08-12 18:00
15,간치,1,역사 반대쪽 (현대시멘트 입구),간치_싸이로_현장사진_역사 반대쪽 (현대시멘트 입구).jpg,2011092114560105.jpg,15940,2011-09-01 00:00,2016-08-12 18:00
16,고모기,1,"청원선, 대구광역시 수성구",고모보수기지_싸이로_항공사진.jpg,2011092116160100.jpg,386423,2011-09-01 00:00,2011-09-01 00:00
17,고모기,1,한일,고모보수기지_싸이로_시설물사진.jpg,2011092116160101.jpg,145624,2011-09-01 00:00,2011-09-01 00:00
18,고모기,1,청원선,고모보수기지_싸이로_배선약도.jpg,2011092116160102.jpg,190382,2011-09-01 00:00,2011-09-01 00:00
19,고모기,1,상세도(한일),고모보수기지_싸이로_배선약도_한일_상세도.jpg,2011092116160103.jpg,147088,2011-09-01 00:00,2011-09-01 00:00
20,고모기,1,한일시멘트선,고모보수기지_싸이로_현장사진_한일_한일시멘트선.jpg,2011092116160104.jpg,34662,2011-09-01 00:00,2011-09-01 00:00
21,고모기,1,한일시멘트 싸이로,고모보수기지_싸이로_현장사진_한일_한일시멘트 싸이로.jpg,2011092116160105.jpg,28635,2011-09-01 00:00,2011-09-01 00:00
22,괴동,1,"한일시멘트선, 경상북도 포항시",괴동_싸이로_항공사진.jpg,2011092116481200.jpg,426223,2011-09-01 00:00,2011-09-01 00:00
23,괴동,1,"가: 한일(10,000*1), 나: 한일(5,000*4)",괴동_싸이로_시설물사진.jpg,2011092116481201.jpg,166060,2011-09-01 00:00,2011-09-01 00:00
24,괴동,1,"한일시멘트선, 효기(환) 3km.860",괴동_싸이로_배선약도.jpg,2011092116481202.jpg,54468,2011-09-01 00:00,2011-09-01 00:00
25,괴동,1,"한일시멘트선(싸이로, 효자~괴동간)",괴동_싸이로_현장사진_한일시멘트선(싸이로).jpg,2011092116481203.jpg,23426,2011-09-01 00:00,2011-09-01 00:00
26,괴동,1,한일시멘트선(효자~괴동간),괴동_싸이로_현장사진_한일시멘트선.jpg,2011092116481204.jpg,24506,2011-09-01 00:00,2011-09-01 00:00
27,극락강,1,"광주선, 광주광역시 광산구",극락강_싸이로_항공사진.jpg,2011092117021200.jpg,347982,2011-09-01 00:00,2011-09-01 00:00
28,극락강,1,동양시멘트,극락강_싸이로_시설물사진_동양시멘트.jpg,2011092117021201.jpg,131102,2011-09-01 00:00,2011-09-01 00:00
29,극락강,1,"광주선, 북송정 기점 4km.500",극락강_싸이로_배선약도.jpg,2011092117021202.jpg,70643,2011-09-01 00:00,2011-09-01 00:00
30,극락강,1,"상세도(동양시멘트, 현대시멘트)",극락강_싸이로_배선약도_상세.jpg,2011092117021203.jpg,90182,2011-09-01 00:00,2011-09-01 00:00
31,극락강,1,동양시멘트 싸이로,극락강_싸이로_현장사진_동양시멘트.jpg,2011092117021204.jpg,18682,2011-09-01 00:00,2011-09-01 00:00
32,극락강,2,현대시멘트 싸이로,극락강_싸이로_현장사진_현대시멘트.jpg,2011092117025200.jpg,16456,2011-09-01 00:00,2011-09-01 00:00
33,남문산,1,"경전선, 경남 진주시 문산읍",남문산_싸이로_항공사진.jpg,2011092117160000.jpg,358022,2011-09-01 00:00,2011-09-01 00:00
34,남문산,1,동양,남문산_싸이로_시설물사진.jpg,2011092117160001.jpg,158260,2011-09-01 00:00,2011-09-01 00:00
35,남문산,1,"경전선, 삼기(환) 91km.520",남문산_싸이로_배선약도.jpg,2011092117160002.jpg,66748,2011-09-01 00:00,2011-09-01 00:00
36,남문산,1,동양시멘트 전경,남문산_싸이로_동양시멘트 전경.jpg,2011092117160003.jpg,24095,2011-09-01 00:00,2011-09-01 00:00
37,남문산,1,동양시멘트,남문산_싸이로_동양시멘트.jpg,2011092117160004.jpg,19391,2011-09-01 00:00,2011-09-01 00:00
38,대전조,1,"경부선, 대전광역시 대덕구",대전조차장역_싸이로_항공사진.jpg,2011092117320000.jpg,522843,2011-09-01 00:00,2016-08-12 17:46
39,대전조,1,동양시멘트,대전조차장역_싸이로_시설물사진.jpg,2011092117320001.jpg,218104,2011-09-01 00:00,2016-08-12 17:46
40,대전조,1,"경부선, 서기(환) 162k.239",대전조차장역_싸이로_배선약도.jpg,2011092117320002.jpg,233078,2011-09-01 00:00,2016-08-12 17:46
41,대전조,1,동양시멘트,대전조차장역_싸이로_현장사진_동양시멘트_1.jpg,2011092117320003.jpg,32215,2011-09-01 00:00,2016-08-12 17:46
42,대전조,1,동양시멘트,대전조차장역_싸이로_현장사진_동양시멘트_2.jpg,2011092117320004.jpg,24360,2011-09-01 00:00,2016-08-12 17:46
43,대전조,1,동양시멘트,대전조차장역_싸이로_현장사진_동양시멘트_3.jpg,2011092117320005.jpg,21328,2011-09-01 00:00,2016-08-12 17:46
44,덕소,1,"중앙선, 경기도 남양주시",덕소_싸이로_항공사진.jpg,2011092118040100.jpg,367703,2011-09-01 00:00,2011-09-01 00:00
45,덕소,1,아세아,덕소_싸이로_시설물사진.jpg,2011092118040101.jpg,170929,2011-09-01 00:00,2011-09-01 00:00
46,덕소,1,"중앙선, 량기(환) 17km.200",덕소_싸이로_배선약도.jpg,2011092118040102.jpg,97692,2011-09-01 00:00,2011-09-01 00:00
47,덕소,1,양회 싸이로,덕소_싸이로_현장사진_양회 싸이로_1.jpg,2011092118040103.jpg,26568,2011-09-01 00:00,2011-09-01 00:00
48,덕소,1,양회 싸이로,덕소_싸이로_현장사진_양회 싸이로_2.jpg,2011092118040104.jpg,24420,2011-09-01 00:00,2011-09-01 00:00
49,덕소,1,양회 싸이로,덕소_싸이로_현장사진_양회 싸이로_3.jpg,2011092118040105.jpg,28837,2011-09-01 00:00,2011-09-01 00:00
50,덕소,1,양회 싸이로,덕소_싸이로_현장사진_양회 싸이로_4.jpg,2011092118040106.jpg,17570,2011-09-01 00:00,2011-09-01 00:00
51,도안,1,"충북선, 충북 증평군",도안_싸이로_항공사진.jpg,2011092119124700.jpg,372214,2011-09-01 00:00,2016-08-12 17:54
52,도안,1,동양,도안_싸이로_시설물사진.jpg,2011092119124701.jpg,144040,2011-09-01 00:00,2016-08-12 17:54
53,도안,1,"충북선, 량기(환) 230km.379",도안_싸이로_배선약도.jpg,2011092119124702.jpg,119764,2011-09-01 00:00,2016-08-12 17:54
54,도안,1,양회 싸이로,도안_싸이로_현장사진_양회싸이로_1.jpg,2011092119124703.jpg,18890,2011-09-01 00:00,2016-08-12 17:54
55,도안,1,양회 싸이로,도안_싸이로_현장사진_양회싸이로_2.jpg,2011092119124704.jpg,14478,2011-09-01 00:00,2016-08-12 17:54
56,도안,1,양회 싸이로,도안_싸이로_현장사진_양회싸이로_3.jpg,2011092119124705.jpg,34153,2011-09-01 00:00,2016-08-12 17:54
57,도안,1,양회 싸이로,도안_싸이로_현장사진_양회싸이로_4.jpg,2011092119124706.jpg,19083,2011-09-01 00:00,2016-08-12 17:54
58,무릉,1,"중앙선, 경상북도 안동시",무릉_싸이로_항공사진.jpg,2011092119450600.jpg,407373,2011-09-01 00:00,2017-02-13 17:21
59,무릉,1,성신,무릉_싸이로_시설물사진.jpg,2011092119450601.jpg,150068,2011-09-01 00:00,2017-02-13 17:21
60,무릉,1,"중앙선, 량기(환) 262km.861",무릉_싸이로_배선약도.jpg,2011092119450602.jpg,103623,2011-09-01 00:00,2017-02-13 17:21
61,무릉,1,양회 싸이로 정면,무릉_싸이로_현장사진_양회싸이로_1.jpg,2011092119450603.jpg,16727,2011-09-01 00:00,2017-02-13 17:21
62,무릉,1,양회 싸이로 확대,무릉_싸이로_현장사진_양회싸이로_2.jpg,2011092119450604.jpg,15984,2011-09-01 00:00,2017-02-13 17:21
63,무릉,1,양회 싸이로,무릉_싸이로_현장사진_양회싸이로_3.jpg,2011092119450605.jpg,14491,2011-09-01 00:00,2017-02-13 17:21
64,무릉,1,양회 싸이로,무릉_싸이로_현장사진_양회싸이로_4.jpg,2011092119450606.jpg,21153,2011-09-01 00:00,2017-02-13 17:21
65,부용,1,"호남선, 전라북도 김제시",부용_싸이로_항공사진.jpg,2011092120041500.jpg,351481,2011-09-01 00:00,2011-09-01 00:00
66,부용,1,동양,부용_싸이로_시설물사진.jpg,2011092120041501.jpg,198500,2011-09-01 00:00,2011-09-01 00:00
67,부용,1,대기(환) 95.3 km,부용_싸이로_배선약도.jpg,2011092120041502.jpg,95367,2011-09-01 00:00,2011-09-01 00:00
68,부용,1,동양시멘트 선로측(호남선),부용_싸이로_현장사진_동양시멘트_선로측(호남선).jpg,2011092120041503.jpg,24642,2011-09-01 00:00,2011-09-01 00:00
69,부용,1,동양시멘트 정면,부용_싸이로_현장사진_동양시멘트_전면.jpg,2011092120041504.jpg,23077,2011-09-01 00:00,2011-09-01 00:00
