역명,물류시설일련번호,싸이로일련번호,싸이로용량,싸이로수,최초등록일시,최종변경일시
의왕,2,1,10000,2,2011-09-01 00:00,2011-09-01 00:00
의왕,3,1,10000,1,2011-09-01 00:00,2011-09-01 00:00
의왕,4,1,10000,2,2011-09-01 00:00,2011-09-01 00:00
의왕,5,1,10000,2,2011-09-01 00:00,2011-09-01 00:00
의왕,6,1,10000,2,2011-09-01 00:00,2011-09-01 00:00
수원,1,1,8000,1,2011-09-01 00:00,2011-09-01 00:00
수원,2,1,10000,1,2011-09-01 00:00,2011-09-01 00:00
성북,1,1,7500,2,2011-09-01 00:00,2011-09-01 00:00
성북,2,1,7500,2,2011-09-01 00:00,2011-09-01 00:00
덕소,1,1,2000,1,2011-09-01 00:00,2011-09-01 00:00
수색,1,1,7000,1,2011-09-01 00:00,2022-06-09 14:35
수색,2,1,5000,1,2011-09-01 00:00,2011-09-01 00:00
오류동,1,1,6000,2,2011-09-01 00:00,2011-09-01 00:00
의왕,1,1,10000,2,2011-09-01 00:00,2011-09-01 00:00
덕소,2,1,3300,1,2011-09-01 00:00,2019-08-29 10:17
팔당,1,1,5000,1,2011-09-01 00:00,2011-09-01 00:00
초성리,1,1,10000,1,2011-09-01 00:00,2019-08-28 14:11
오송,1,1,1000,1,2011-09-01 00:00,2011-09-01 00:00
오송,2,1,1000,1,2011-09-01 00:00,2011-09-01 00:00
부강,1,1,10000,1,2011-09-01 00:00,2011-09-01 00:00
부강,2,1,15000,1,2011-09-01 00:00,2019-08-29 14:24
매포,1,1,20000,0,2011-09-01 00:00,2022-06-14 13:08
매포,2,1,10000,2,2011-09-01 00:00,2011-09-01 00:00
매포,3,1,10000,1,2011-09-01 00:00,2011-09-01 00:00
대전조,1,1,1500,2,2011-09-01 00:00,2011-09-01 00:00
대전조,2,1,3000,1,2011-09-01 00:00,2011-09-01 00:00
신탄진,1,1,10000,1,2011-09-01 00:00,2011-09-01 00:00
신탄진,2,1,2000,1,2011-09-01 00:00,2011-09-01 00:00
신탄진,3,1,10000,1,2011-09-01 00:00,2011-09-01 00:00
흑석리,1,1,5000,1,2011-09-01 00:00,2011-09-01 00:00
연무대,1,1,5000,1,2011-09-01 00:00,2011-09-01 00:00
청주,1,1,5000,1,2011-09-01 00:00,2011-09-01 00:00
음성,1,1,5000,1,2011-09-01 00:00,2011-09-01 00:00
도안,1,1,3000,2,2011-09-01 00:00,2011-09-01 00:00
간치,1,1,5000,1,2011-09-01 00:00,2011-09-01 00:00
신성,1,1,10000,1,2011-09-01 00:00,2011-09-01 00:00
옥마,1,1,5000,1,2011-09-01 00:00,2011-09-01 00:00
주평,1,1,5000,1,2011-09-01 00:00,2011-09-01 00:00
쌍용,1,1,3000,5,2011-09-01 00:00,2011-09-01 00:00
주평,2,1,3000,5,2011-09-01 00:00,2011-09-01 00:00
주평,3,1,500,1,2011-09-01 00:00,2011-09-01 00:00
주평,4,1,200,4,2011-09-01 00:00,2011-09-01 00:00
약목,1,1,10000,2,2011-09-01 00:00,2024-02-26 17:44
신동,1,1,10000,1,2011-09-01 00:00,2011-09-01 00:00
괴동,1,1,10000,1,2011-09-01 00:00,2011-09-01 00:00
괴동,2,1,2500,3,2011-09-01 00:00,2016-08-08 14:38
남문산,1,1,500,2,2011-09-01 00:00,2011-09-01 00:00
고모기,1,1,7000,1,2011-09-01 00:00,2011-09-01 00:00
한림정,1,1,3000,1,2011-09-01 00:00,2011-09-01 00:00
한림정,2,1,5000,1,2011-09-01 00:00,2011-09-01 00:00
한림정,3,1,5000,1,2011-09-01 00:00,2011-09-01 00:00
극락강,1,1,1500,2,2011-09-01 00:00,2011-09-01 00:00
극락강,2,1,1500,2,2011-09-01 00:00,2011-09-01 00:00
장성,1,1,5000,4,2011-09-01 00:00,2011-09-01 00:00
여수,1,1,10000,2,2011-09-01 00:00,2011-09-01 00:00
여수,2,1,10000,2,2011-09-01 00:00,2011-09-01 00:00
부용,1,1,500,2,2011-09-01 00:00,2011-09-01 00:00
북전주,1,1,10000,1,2011-09-01 00:00,2011-09-01 00:00
북전주,2,1,10000,1,2011-09-01 00:00,2011-09-01 00:00
춘천,1,1,5000,1,2011-09-01 00:00,2011-09-01 00:00
무릉,1,1,5000,1,2011-09-01 00:00,2011-09-01 00:00
신녕,1,1,5000,1,2011-09-01 00:00,2011-09-01 00:00
평은,1,1,5000,1,2011-09-01 00:00,2011-09-01 00:00
가천,1,1,7000,1,2012-01-11 15:28,2012-01-11 15:28
대전조,3,1,150,1,2015-08-06 14:21,2019-01-25 16:30
대지청,2,1,343,4543,2011-12-02 15:22,2011-12-02 15:22
대전조,4,1,1000,4,2015-08-06 14:28,2015-08-06 14:28
괴동,3,1,2000,1,2016-08-08 14:39,2016-08-08 14:39
괴동,2,2,2000,1,2016-08-08 14:40,2016-08-08 14:40
의왕,7,1,10000,2,2019-08-29 14:19,2019-08-29 14:19
수색,3,1,5000,1,2023-10-25 09:11,2023-10-25 09:11
