유엔위험물번호,위험물등급번호,국제해상위험물규칙(IMDG 코드),위험물분류코드,유엔위험물한글명,최초등록일시,최종변경일시,버전1할증율
3473,3,3,4,연료전지 카트리지 or 장비 속에 포함된 연료전지 카트리지 or 장비로 포장된 연로전지카트리지 (가연성 액체를 포함한),2016-01-07 14:09,2016-01-07 14:09,3
3474,4,4.1,9,"1-히드록시벤조트리아졸, 질량에 의해 20% 이상 물에 젖은 무수",2016-01-07 14:09,2016-01-07 14:09,4
3475,3,3,4,에탄올 & 가솔린화합물 or 에탄올 & 휘발유 & or 에탄올 & 석유 (적어도 10% 이상의 에탄올 포함),2016-01-07 14:09,2016-01-07 14:09,3
3476,4,4.3,9,연료전지카트리지 혹은 장비에 포함된 연료전지 카트리지 혹은 장비와 물반응성 물질이 압축된 연료전지 카트리지,2016-01-07 14:09,2016-01-07 14:09,4
3477,8,8,9,연료전지 카트리지 또는 기기에 장착된 연료전지 카트리지 또는 기기와 함께 포장된 연료전지 카트리지 (부식성 물질이 들어있는 것),2016-01-07 14:09,2016-01-07 14:09,4
3478,2,2.1,8,연료전지탄약통 또는 장치에 포함된 연료전지탄약통 또는 액화된 가연성의 가스를 포함하는 장치로 채워진 연료전지 탄약통,2016-01-07 14:09,2016-01-07 14:09,2
3479,2,2.1,8,연료전지탄약통 또는 장치에 포함된 연료전지탄약통 또는 메탈 하이드라이드의 수소를 포함하는 장치로 채워진 연료전지 탄약통,2016-01-07 14:09,2016-01-07 14:09,2
3480,9,9,9,리튬이온배터리,2016-01-07 14:09,2016-01-07 14:09,4
3481,9,9,9,리튬이온전지 용품이거나 용품(리튬이온폴리머전지 포함하고 있는)이 들어있는 리튬이온전지,2016-01-07 14:09,2016-01-07 14:09,4
3482,4,4.3,9,"알칼리 금속 분산물, 인화성 또는 알칼리 토금속 분산물, 인화성",2016-01-07 14:09,2016-01-07 14:09,4
3483,6,6.1,9,"자동차 연료 노킹방지제 혼합물, 인화성",2016-01-07 14:09,2016-01-07 14:09,4
