위험물등급번호,국제해상위험물규칙(IMDG 코드),위험물등급명,국제해상위험물규칙명(IMDG 코드명),국제해상위험물물질내용(IMDG물질내용),위험물성질명,위험물비고내용,최초등록일시,최종변경일시
2,2,가스류,인화성가스(Flammable Gas),"propane, methane, acetylene, hydrogen 등",,,2011-11-14 21:17,2011-11-14 21:17
2,2.1,가스류,인화성가스(Flammable Gas),"propane, methane, acetylene, hydrogen 등",,,2011-11-14 21:17,2011-11-14 21:17
2,2.2,가스류,비인화성가스/비독성가스 (Non-flammable gas/Non-toxic gas),"압축산소, 저온액체 산소, 탄산가스 등",,,2011-11-14 21:17,2011-11-14 21:17
2,2.3,가스류,독성가스(Toxic Gas),"methyl bromide, phosgene, tetraethyl, pyrophosphate, 황화수소 등",,,2011-11-14 21:17,2011-11-14 21:17
3,3,인화성 액체,액체로서 인화의 위험성 있는 물질,"디에톡시에탄,콜타르증류액,붕산에틸, 초산이소프로필,아세트산프로필기,항공유,휘발유,시크로헥산,플라스틱, 페인트, 용제류 등",,"이황화탄소,디에틸에테르, 아세톤, 휘발유,등유,경유,중유,클레오소트유,기어유,실린더유",2011-11-14 21:17,2011-11-14 21:17
4,4.1,가연성고체/자연발화성물질/물반응성물질,가연성 고체(Flammable Solids),"알루미늄파우다, 하프늄파우다, 규소파우다 등",가연성 고체 자연 발화성 및 금수성 물질,"고체로서 화염에 의한 발화의 위험성 또는 인화의 위험성 판단/고형알코올, 1기압에서 인화점이 40℃ 미만인 고체",2011-11-14 21:17,2011-11-14 21:17
4,4.2,가연성고체/자연발화성물질/물반응성물질,자연발화성물질(Substances Liable to Spontanous Combustion),"지르코늄파우다, 금속알킬, 활성탄소, 면, 섬유 등",가연성 고체 자연 발화성 및 금수성 물질,고체또는 액체로서 공기중에서 발화의 위험이 있는 물질,2011-11-14 21:17,2011-11-14 21:17
4,4.3,가연성고체/자연발화성물질/물반응성물질,물반응성물질(Substances Which in contact with water Emit Flammable Gases),"삼염화실란 인화칼슘 탄화칼슘, 나트륨 등",가연성 고체 자연 발화성 및 금수성 물질,고체또는 액체로서 물과접촉하여 가연성가스를 발생하는위험성이 있는 물질,2011-11-14 21:17,2011-11-14 21:17
5,5.1,산화성물질/유기과산화물(Oxidizer substances and oganic peroxides),산화성물질(Oxidizer),"중크롬산염,과산화 리튬, 과산화마그네슘, 표백분, 질산나트륨,잘산아연,",산화성 고체,산화의 잠재적인 위험성 또는 충격에 대한 민감성 판단,2011-11-14 21:17,2011-11-14 21:17
5,5.2,산화성물질/유기과산화물(Oxidizer substances and oganic peroxides),유기과산화물(Oganic peroxides),유기과산화물,자기 반응성,"산소 공급없이 연소, 폭발 가능",2011-11-14 21:17,2011-11-14 21:17
