세그먼트코드,적용시작일자,적용종료일자,운행지역본부구분,세그먼트시작역명,세그먼트종료역명,세그먼트거리,이력구분코드,최초등록일시,최종변경일시
100,1900-01-01,9999-12-31,서울본부 ,서울,용산,3.2,신규 ,2011-12-13 00:00,2011-12-13 00:00
103,1900-01-01,9999-12-31,수도권서부본부 ,용산,노량진,2.6,신규 ,2011-12-13 00:00,2011-12-13 00:00
106,1900-01-01,9999-12-31,수도권서부본부 ,노량진,영등포,3.3,신규 ,2011-12-13 00:00,2011-12-13 00:00
109,1900-01-01,9999-12-31,수도권서부본부 ,영등포,구로,2.6,신규 ,2011-12-13 00:00,2011-12-13 00:00
112,1900-01-01,9999-12-31,수도권서부본부 ,구로,시흥,5.6,신규 ,2011-12-13 00:00,2011-12-13 00:00
115,1900-01-01,9999-12-31,수도권서부본부 ,시흥,금정,10.2,신규 ,2011-12-13 00:00,2011-12-13 00:00
118,1900-01-01,9999-12-31,수도권서부본부 ,금정,수원,14,신규 ,2011-12-13 00:00,2011-12-13 00:00
121,1900-01-01,9999-12-31,수도권서부본부 ,수원,세류,2.9,신규 ,2011-12-13 00:00,2011-12-13 00:00
124,1900-01-01,9999-12-31,수도권서부본부 ,세류,병점,4.3,신규 ,2011-12-13 00:00,2011-12-13 00:00
127,1900-01-01,9999-12-31,수도권서부본부 ,병점,오산대,5.1,신규 ,2011-12-13 00:00,2011-12-13 00:00
130,1900-01-01,9999-12-31,수도권서부본부 ,오산대,오산,2.7,신규 ,2011-12-13 00:00,2011-12-13 00:00
133,1900-01-01,9999-12-31,수도권서부본부 ,오산,평택,18.5,신규 ,2011-12-13 00:00,2011-12-13 00:00
136,1900-01-01,9999-12-31,대전충남본부 ,평택,천안,21.6,신규 ,2011-12-13 00:00,2011-12-13 00:00
200,1900-01-01,9999-12-31,수도권동부본부 ,회기,상봉,2.6,신규 ,2011-12-13 00:00,2011-12-13 00:00
203,1900-01-01,9999-12-31,수도권동부본부 ,상봉,망우,0.6,신규 ,2011-12-13 00:00,2011-12-13 00:00
206,1900-01-01,9999-12-31,수도권동부본부 ,망우,덕소,12.6,신규 ,2011-12-13 00:00,2011-12-13 00:00
209,1900-01-01,9999-12-31,수도권동부본부 ,덕소,팔당,5.7,신규 ,2011-12-13 00:00,2011-12-13 00:00
212,1900-01-01,9999-12-31,수도권동부본부 ,팔당,양수,8.3,신규 ,2011-12-13 00:00,2011-12-13 00:00
