세그먼트코드,적용시작일자,역명,적용종료일자,이력구분,역일련번호,세그먼트누적거리,최초등록일시,최종변경일시
100,1900-01-01,서울,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
100,1900-01-01,용산,9999-12-31,신규 ,2,3.2,2011-12-13 00:00,2011-12-13 00:00
103,1900-01-01,용산,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
103,1900-01-01,노량진,9999-12-31,신규 ,2,2.6,2011-12-13 00:00,2011-12-13 00:00
106,1900-01-01,노량진,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
106,1900-01-01,대방,9999-12-31,신규 ,2,1.5,2011-12-13 00:00,2011-12-13 00:00
106,1900-01-01,신길,9999-12-31,신규 ,3,2.3,2011-12-13 00:00,2011-12-13 00:00
106,1900-01-01,영등포,9999-12-31,신규 ,4,3.3,2011-12-13 00:00,2011-12-13 00:00
109,1900-01-01,영등포,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
109,1900-01-01,신도림,9999-12-31,신규 ,2,1.5,2011-12-13 00:00,2011-12-13 00:00
109,1900-01-01,구로,9999-12-31,신규 ,3,2.6,2011-12-13 00:00,2011-12-13 00:00
112,1900-01-01,구로,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
112,1900-01-01,가리봉,9999-12-31,신규 ,2,2.4,2011-12-13 00:00,2011-12-13 00:00
112,1900-01-01,독산,9999-12-31,신규 ,3,4.4,2011-12-13 00:00,2011-12-13 00:00
112,1900-01-01,시흥,9999-12-31,신규 ,4,5.6,2011-12-13 00:00,2011-12-13 00:00
115,1900-01-01,시흥,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
115,1900-01-01,석수,9999-12-31,신규 ,2,2.3,2011-12-13 00:00,2011-12-13 00:00
115,1900-01-01,관악,9999-12-31,신규 ,3,4.2,2011-12-13 00:00,2011-12-13 00:00
115,1900-01-01,안양,9999-12-31,신규 ,4,6.6,2011-12-13 00:00,2011-12-13 00:00
