역이름,역이력적용시작일자,역이력적용종료일자,화차배정우선순위,구내유효장,구내선로길이,지선유효장,지선선로거리,전용선유효장,전용선선로거리,총선수,유효장총계거리,선로전체거리,분기역여부,입환시작여부,원본사진명,사진설명,최초등록일시,최종변경일시
송도교,2018-08-04,,,,,,,,,,,,N,N,,,2018-08-03 10:59,2018-08-03 10:59
본청,,,0,,,,,,,0,,,N,N,,,1995-12-18 00:00,1999-12-15 00:00
서지청,,,0,,,,,,,0,,,N,N,,,1995-12-18 00:00,2000-01-02 00:00
대지청,,,0,,,,,,,0,,,N,N,,,1995-12-18 00:00,2000-01-02 00:00
순지청,,,0,,,,,,,0,,,N,N,,,1995-12-18 00:00,2000-01-02 00:00
영지청,,,7,,,,,,,0,,,N,N,,,1995-12-18 00:00,2000-01-02 00:00
부지청,,,7,,,,,,,0,,,N,N,,,1995-12-18 00:00,2000-01-02 00:00
서열소,,2006-07-11,0,,,,,,,0,,,N,N,,,1997-08-25 00:00,2006-07-11 15:00
서열소,2006-07-12,,0,,,,,,,0,,,N,N,,,2006-07-11 15:00,2006-07-11 15:00
량열소,,2006-07-11,0,,,,,,,0,,,N,N,,,1997-08-25 00:00,2006-07-11 15:00
량열소,2006-07-12,2020-09-20,0,,,,,,,0,,,N,N,,,2006-07-11 15:00,2020-09-11 15:22
량열소,2020-09-21,,0,,,,,,,0,,,N,N,,,2020-09-11 15:25,2020-09-11 15:25
구로열차소,,2006-07-11,0,,,,,,,0,,,N,N,,,1997-08-25 00:00,2006-07-11 15:01
구로열차소,2006-07-12,,0,,,,,,,0,,,N,N,,,2006-07-11 15:01,2006-07-11 15:01
대열소,,2006-07-11,0,,,,,,,0,,,N,N,,,1997-08-25 00:00,2006-07-11 15:01
대열소,2006-07-12,,0,,,,,,,0,,,N,N,,,2006-07-11 15:01,2006-07-11 15:01
천안열분,,,0,,,,,,,0,,,N,N,,,1997-08-25 00:00,1999-10-05 00:00
김천열분,,2020-09-20,0,,,,,,,0,,,N,N,,,1997-08-25 00:00,2020-09-11 15:46
김천열분,2020-09-21,,0,,,,,,,0,,,N,N,,,2020-09-11 15:48,2020-09-11 15:48
순열소,,2006-07-11,2,,,,,,,0,,,N,N,,,1997-08-25 00:00,2006-07-11 15:01
순열소,2006-07-12,,2,,,,,,,0,,,N,N,,,2006-07-11 15:01,2006-07-11 15:01
익산열분,,2020-09-20,3,,,,,,,0,,,N,N,,,1997-08-25 00:00,2020-09-11 15:54
익산열분,2020-09-21,,3,,,,,,,0,,,N,N,,,2020-09-11 15:56,2020-09-11 15:56
광주열분,,,1,,,,,,,0,,,N,N,,,1997-08-25 00:00,1999-10-05 00:00
영열소,,2006-07-11,4,,,,,,,0,,,N,N,,,1997-08-25 00:00,2006-07-11 15:02
영열소,2006-07-12,,4,,,,,,,0,,,N,N,,,2006-07-11 15:02,2006-07-11 15:02
제천열분,,2020-09-20,5,,,,,,,0,,,N,N,,,1997-08-25 00:00,2020-09-11 14:48
제천열분,2020-09-21,,5,,,,,,,0,,,N,N,,,2020-09-11 14:50,2020-09-11 14:50
안동열주,,,6,,,,,,,0,,,N,N,,,1997-08-25 00:00,1999-10-05 00:00
동열소,,2006-07-11,3,,,,,,,0,,,N,N,,,1997-08-25 00:00,2006-07-11 15:02
동열소,2006-07-12,2020-09-20,3,,,,,,,0,,,N,N,,,2006-07-11 15:02,2020-09-11 14:48
동열소,2020-09-21,,3,,,,,,,0,,,N,N,,,2020-09-11 14:50,2020-09-11 14:50
부열소,,2006-07-11,5,,,,,,,0,,,N,N,,,1997-08-25 00:00,2006-07-11 15:03
부열소,2006-07-12,,5,,,,,,,0,,,N,N,,,2006-07-11 15:03,2006-07-11 15:03
대구열분,,,6,,,,,,,0,,,N,N,,,1997-08-25 00:00,1999-10-05 00:00
마산열분,,,9,,,,,,,0,,,N,N,,,1997-08-25 00:00,1999-10-05 00:00
경주열분,,,4,,,,,,,0,,,N,N,,,1997-08-25 00:00,1999-10-05 00:00
서울,,2004-02-20,9,659,9233,0,0,0,0,28,659,9233,Y,Y,서울 1.jpg,,1900-07-08 00:00,2004-02-20 11:07
서울,2004-02-21,2006-06-30,9,686,9778,0,0,0,0,29,686,9778,Y,Y,서울 1.jpg,,2004-02-20 11:07,2006-06-26 14:29
서울,2006-07-01,2009-09-30,9,671,9569,0,0,0,0,28,671,9569,Y,Y,서울 1.jpg,,2006-06-26 14:29,2009-09-29 14:51
서울,2009-10-01,,9,670,9555,0,0,0,0,29,670,9555,Y,Y,서울 1.jpg,,2009-09-29 14:51,2009-09-29 14:51
남영,,2004-05-27,0,80,1120,,,,,2,80,1120,N,N,남영 1.jpg,,1974-08-15 00:00,2004-05-27 17:04
남영,2004-05-28,2006-06-30,0,80,1120,,,,,2,80,1120,N,N,남영 1.jpg,,2004-05-27 17:04,2006-06-26 14:30
남영,2006-07-01,2007-09-30,0,80,1120,,,,,2,80,1120,N,N,남영 1.jpg,,2006-06-26 14:30,2007-09-27 16:27
남영,2007-10-01,2007-10-19,0,80,1120,,,,,2,80,1120,N,N,남영 1.jpg,,2007-09-27 16:27,2007-10-19 09:40
남영,2007-10-20,,0,80,1120,,,,,2,80,1120,Y,N,남영 1.jpg,,2007-10-19 09:40,2007-10-19 09:40
용산,,2004-02-20,2,819,11655,74,1089,28,402,48,1299,18446,Y,Y,용산 1.jpg,,1900-07-08 00:00,2004-02-20 11:07
용산,2004-02-21,2006-06-30,2,819,11655,74,1089,28,402,48,1299,18446,Y,Y,용산 1.jpg,,2004-02-20 11:07,2006-06-26 14:34
용산,2006-07-01,2009-09-30,2,819,11655,74,1089,28,402,48,1299,18446,Y,Y,용산 1.jpg,,2006-06-26 14:34,2009-09-29 14:55
용산,2009-10-01,2010-12-30,2,819,11655,74,1089,28,402,48,1299,18446,Y,Y,용산 1.jpg,,2009-09-29 14:55,2010-12-30 16:25
용산,2010-12-31,,2,822,11715,74,1089,28,402,48,1252,17806,Y,Y,용산 1.jpg,,2010-12-30 16:25,2010-12-30 16:25
용산경부분,2003-12-01,2006-06-30,0,100,1400,,,,,2,100,1400,N,N,,,2003-12-01 00:00,2006-06-29 21:51
용산경부분,2006-07-01,2011-12-26,0,100,1400,,,,,2,100,1400,N,N,,,2006-06-29 21:51,2011-12-26 11:03
용산경부분,2011-12-27,,0,100,1400,,,,,2,100,1400,N,N,,,2011-12-26 11:03,2011-12-26 11:03
노량진,1898-09-18,2006-06-30,14,214,3061,0,0,0,0,10,214,3061,N,N,노량진 1.jpg,,1899-09-18 00:00:00,2006-06-26 14:59
노량진,2006-07-01,,14,214,3061,0,0,0,0,10,214,3061,Y,N,노량진 1.jpg,,2006-06-26 14:59,2006-06-26 14:59
대방,,2004-05-27,0,80,1120,,,,,2,80,1120,N,N,대방 1.jpg,,1974-08-15 00:00,2004-05-27 17:16
대방,2004-05-28,2006-06-30,0,80,1120,,,,,2,80,1120,N,N,대방 1.jpg,,2004-05-27 17:16,2006-06-26 14:59
대방,2006-07-01,2007-09-30,0,80,1120,,,,,2,80,1120,N,N,대방 1.jpg,,2006-06-26 14:59,2007-09-27 16:28
대방,2007-10-01,2007-10-19,0,80,1120,,,,,2,80,1120,N,N,대방 1.jpg,,2007-09-27 16:28,2007-10-19 09:41
대방,2007-10-20,,0,80,1120,,,,,2,80,1120,N,N,대방 1.jpg,,2007-10-19 09:41,2007-10-19 09:41
신길,,2004-05-27,0,50,1400,,,,,2,50,1400,N,N,신길 2.jpg,,1997-07-03 00:00,2004-05-27 17:16
신길,2004-05-28,2006-06-30,0,50,1400,,,,,2,50,1400,N,N,신길 2.jpg,,2004-05-27 17:16,2006-06-26 15:00
신길,2006-07-01,2007-09-30,0,50,1400,,,,,2,50,1400,N,N,신길 2.jpg,,2006-06-26 15:00,2007-09-27 16:28
신길,2007-10-01,2007-10-19,0,50,1400,,,,,2,50,1400,N,N,신길 2.jpg,,2007-09-27 16:28,2007-10-19 09:41
신길,2007-10-20,,0,50,1400,,,,,2,50,1400,N,N,신길 2.jpg,,2007-10-19 09:41,2007-10-19 09:41
영등포,1898-09-18,2006-06-30,3,514,7330,97,1372,0,0,24,611,8702,N,Y,영등포 1.jpg,,1899-09-18 00:00:00,2006-06-26 15:00
영등포,2006-07-01,2010-11-17,3,521,7412,67,952,0,0,23,588,8364,N,Y,영등포 1.jpg,,2006-06-26 15:00,2010-11-17 11:33
영등포,2010-11-18,,3,521,7412,27,380,0,0,21,548,7792,N,Y,영등포 1.jpg,,2010-11-17 11:33,2010-11-17 11:33
신도림,,2006-06-30,0,80,1120,0,0,0,0,2,80,1120,N,N,신도림 1.jpg,,1984-04-16 00:00,2006-06-26 15:01
신도림,2006-07-01,2007-09-30,0,80,1120,0,0,0,0,2,80,1120,N,N,신도림 1.jpg,,2006-06-26 15:01,2007-09-27 16:29
신도림,2007-10-01,2007-10-19,0,80,1120,0,0,0,0,2,80,1120,N,N,신도림 1.jpg,,2007-09-27 16:29,2007-10-19 09:41
신도림,2007-10-20,,0,160,2240,0,0,0,0,4,160,2240,N,N,신도림 1.jpg,,2007-10-19 09:41,2007-10-19 09:41
구로,,2006-06-30,0,158,2270,,,,,68,917,13173,Y,N,,,1973-12-01 00:00,2006-06-26 15:01
구로,2006-07-01,,0,158,2270,,,,,68,917,13173,Y,N,,,2006-06-26 15:01,2006-06-26 15:01
구로경부분,2003-12-01,2006-06-30,0,100,1400,,,,,2,100,1400,N,N,,,2003-12-01 00:00,2006-06-29 21:52
구로경부분,2006-07-01,2011-12-26,0,100,1400,,,,,2,100,1400,N,N,,,2006-06-29 21:52,2011-12-26 11:06
구로경부분,2011-12-27,,0,100,1400,,,,,2,100,1400,N,N,,,2011-12-26 11:06,2011-12-26 11:06
