G2B분류번호,G2B품명,G2B영문품명,품명해설,생성일시,G2B코드사용여부
25221211,디젤동차용기관방열기,Diesel rail car engine radiator,"디젤동차 기관 냉각장치의 구성품으로 냉각수와 공기와의 열교환을 통하여 기관에서 발생한 열을 방출시키는 라디에이터로, 수관, 방열핀, 프레임 등으로 되어있음.",2012-12-19 01:27,Y
25221213,철도차량용오일팬,Rollingstock engine oil pan,객화차와 사고복구기중기 등 특수차량용 엔진의 작동부에 윤활유를 공급하기 위하여 윤활유를 저장해두는 용기(유조)로 부속품을 포함함.,2012-12-19 01:27,Y
25221217,철도차량용수온계전기,Rollingstock engine water thermal relay,객화차와 사고복구기중기 등 특수차량용 엔진의 냉각수 온도에 따라 전기회로를 개폐하여 일정온도를 유지해주는 계전기.,2012-12-19 01:27,Y
25221218,디젤동차용온도제어장치,Diesel rail car temperature control unit,"기관의 냉각수 방출관에 설치되어 냉각수의 흐름을 조절하여 냉각수의 과열, 과냉을 방지하고 일정한 온도를 유지하는 장치로서, 온도조절기의 하우징 내에 왁스를 봉입한 펠릿케이스와 슬라이드밸브를 조립하여, 온도가 낮을때는 밸브가 폐색되고 냉각수는 펌프로 바이패스되며, 밸브가 개방되기 시작하여 완전히 개방되면바이패스는 차단되고 냉각수는 전량 방열기로 순환하여 냉각됨.",2012-12-19 01:27,Y
252213,철도차량동력장치,Rolling stock power plant components and accessories,"철도차량 원동기와 부품. (제외 : 기관의 냉각장치 및 연료장치, 발전기, 전동기)",2012-12-19 01:27,Y
25221303,디젤기관차용기관개스킷,Diesel locomotive engine gasket,"디젤기관차 기관의 실린더헤드 및 실린더라이너에 사용되는 헤드 개스킷, 윤활유 개스킷, 검사변 실(Seal), 오링(O-ring) 등 을 말함.",2012-12-19 01:27,Y
25221304,철도차량용기관방진공무,Rollingstock engine mounting rubber,객화차와 사고복구기중기 등 특수차량용 엔진의 동작시에 발생되는 진동을 흡수해주는 방진용 고무.,2012-12-19 01:27,Y
25221305,디젤기관차용기관조립체,Diesel locomotive engine assembly,"디젤기관차의 견인동력을 발생시키는 디젤엔진으로, 실린더내에 공기를 흡입 압축하고 연료를 분사시켜 고온고압에 의한 자연발화, 폭발로 운전하는 내연기관 조립체임.",2012-12-19 01:27,Y
25221306,디젤동차용기관조립체,Diesel rail car engine,"디젤동차 실린더 내에서 공기를 흡입압축하여 고온 고압상태에서 액체연료를 분사시켜 동력을 얻는 기관으로서 실린더, 피스톤, 크랭크 축이 그 주요 구성품으로되어 있음.",2012-12-19 01:27,Y
25221307,디젤동차용기관조속기,Diesel rail car engine speed governor,디젤동차의 기관사가 선택한 기관의 속도를 유지시키고 기관부하에 따라 연료분사량을 조절하며 비상시에 기관을 정지시켜 기관을 보호하는 역할을 하는 전자식 제어장치로 부속품을 포함함.,2012-12-19 01:27,Y
25221308,디젤동차용배기다기관,Diesel rail car exhaust manifold,"디젤동차 기관의 각 실린더에서 연소된 배기가스를 모아서 대기로 배출시키는 통로이며, 다기관(Manifold)과 절연판 및 커플링 등으로 되어있음.",2012-12-19 01:27,Y
25221309,철도차량용배기다기관,Rollingstock engine exhaust manifold,객화차와 사고복구기중기 등 특수차량용 엔진의 각 실린더에서 연소된 배기가스를 모아서 대기로 배출시키는 다기관임.,2012-12-19 01:27,Y
25221310,디젤기관차용배기다기관연돌,Diesel locomotive exhaust manifold and apparatus,"디젤기관차 기관의 배기다기관은 각 실린더에서 나온 배기가스를 한 곳으로 모으는 원통형의 쳄버조립체, 팽창조인트, 어댑터 등으로 구성되고, 연돌은 배기가스를 대기로 배출키는 닥트형 배기관으로 소음기 역할을 겸함.",2012-12-19 01:27,Y
25221312,난방차용보일러,Heating boiler car boiler,"난방차용 보일러로 연소실, 열교환기, 급수장치등으로 구성됨.",2012-12-19 01:27,Y
25221314,철도차량용스파크플러그,Rollingstock engine spark plug,발전차나 사고복구기중기 등의 철도차량용 엔진에 사용하는 스파크 플러그임.,2012-12-19 01:27,Y
25221316,디젤기관차용실린더라이너,Diesel locomotive cylinder liner,"디젤기관차 기관의 실린더 블록에 삽입되어 피스톤과 접촉하는 원통으로, 고온고압의 폭발가스에 견딜 수 있도록, 내열 내마모성의 합금주철 주물체에 외벽주위로강판을 용접하여 만들고, 냉각수 재킷과 공기유입공 등으로 되어 있음.",2012-12-19 01:27,Y
