자재번호,G2B분류번호,속성코드,속성값,생성일시
1109275,25220320,Y0COMMON_01,EL8200 안살도 ATP용 CBAT PLUG,2025-07-28 23:30
1109275,25220320,Y0COMMON_06,(B랙),2025-07-28 23:30
1109275,25220320,Y25220320_006,B30B.0100006,2025-07-28 23:30
1021989,15121902,Y15121902_011,-0.166666667,2025-07-29 23:30
1021989,15121902,Y15121902_012,℃,2025-07-29 23:30
1021989,15121902,Y0COMMON_01,그리스,2025-07-29 23:30
1021989,15121902,Y0COMMON_02,KSM2130,2025-07-29 23:30
1123603,25222110,Y0COMMON_01,ITX-새마을 브레이크 패드 홀더(,2025-07-29 23:30
1123603,25222110,Y0COMMON_05,T01-BH30-07-RBH30001DD0,2025-07-29 23:30
1123603,25222110,Y25222110_997,CPN: 49942190,2025-07-29 23:30
1123604,25222110,Y0COMMON_01,ITX-새마을 브레이크패드 홀더(L,2025-07-29 23:30
1123604,25222110,Y0COMMON_05,T01-BH30-07-RBH30001DD0,2025-07-29 23:30
1123604,25222110,Y25222110_997,CPN: 49942189,2025-07-29 23:30
1085383,25221013,Y0COMMON_01,2차 공기현수장치조립체 객차용,2025-07-29 23:30
1085383,25221013,Y0COMMON_03,KRCS B441,2025-07-29 23:30
1085383,25221013,Y0COMMON_05,K02-BF00-07-TRP06930_1,2025-07-29 23:30
1117466,25220312,Y0COMMON_01,ATP(안살도) CCTE-1,2025-07-29 23:30
1117466,25220312,Y25220312_014,"""'",2025-07-29 23:30
1117466,25220312,Y25220312_004,6530907,2025-07-29 23:30
1117466,25220312,Y25220312_007,7600호대용,2025-07-29 23:30
1117468,25220312,Y0COMMON_01,ATP(안살도) CCTE-2,2025-07-29 23:30
1117468,25220312,Y25220312_014,"""'",2025-07-29 23:30
1117468,25220312,Y25220312_004,6530907,2025-07-29 23:30
1117468,25220312,Y25220312_007,7600호대용,2025-07-29 23:30
1117470,25220312,Y0COMMON_01,ATP(안살도) CCTE-3,2025-07-29 23:30
1117470,25220312,Y25220312_014,"""'",2025-07-29 23:30
1117470,25220312,Y25220312_004,6530907,2025-07-29 23:30
1117470,25220312,Y25220312_007,7600호대용,2025-07-29 23:30
1056990,40141693,Y0COMMON_01,에어벤트,2025-07-29 23:30
1063282,30171510,Y0COMMON_01,자동문모터세트,2025-07-29 23:30
1063282,30171510,Y30171510_997,양문형,2025-07-29 23:30
1115230,25220747,Y0COMMON_01,테이퍼롤러베어링,2025-07-29 23:30
1115230,25220747,Y0COMMON_05,RBB22001FK0,2025-07-29 23:30
