자재번호,대상장비,생성일시
1106819,S001,2023-05-03 23:31
1111496,R110,2023-06-15 23:30
1116416,R720,2024-09-12 00:19
1116406,R810,2024-09-12 00:19
1097018,C001,2012-12-25 00:47
1097018,D001,2012-12-25 00:47
1111967,R110,2023-06-15 23:30
1111969,R110,2023-06-15 23:30
1115843,R110,2023-06-15 23:30
1116407,R810,2024-09-12 00:19
1116417,R720,2024-09-12 00:19
1116440,J001,2024-09-12 00:19
1116460,R710,2024-09-12 00:19
1108601,T001,2023-06-15 23:30
1116486,R500,2024-09-12 00:19
1108422,I001,2018-12-21 23:30
1116491,A001,2024-09-12 00:19
7020056,I001,2018-12-21 23:30
1116520,R500,2024-09-12 00:19
1116521,R500,2024-09-12 00:19
1116551,R110,2024-09-12 00:19
1116576,A001,2024-09-12 00:19
1116576,W001,2024-09-12 00:19
6005150,M001,2018-12-21 23:30
1115165,R500,2021-02-15 23:30
1116601,R720,2024-09-12 00:19
1116611,R123,2024-09-12 00:19
1116665,R720,2024-09-12 00:19
1116666,J001,2024-09-12 00:19
1116669,R500,2024-09-12 00:19
1116687,R233,2024-09-12 00:19
1116688,R233,2024-09-12 00:19
7020700,M001,2024-09-12 00:19
7020701,M001,2024-09-12 00:19
7021027,M001,2024-09-12 00:19
1121857,R730,2024-09-12 00:19
1121858,R730,2024-09-12 00:19
1098970,G001,2021-02-16 23:30
1103522,R122,2024-09-12 23:30
1112814,R710,2021-02-16 23:30
1121813,T001,2024-09-12 23:30
1121814,T001,2024-09-12 23:30
1121815,T001,2024-09-12 23:30
1109376,R720,2024-09-12 23:30
1109405,R720,2024-09-12 23:30
1121868,T001,2024-09-12 23:30
1108036,E001,2023-06-17 23:30
1114798,I001,2021-02-16 23:30
1111955,R110,2021-02-17 23:30
1111971,R110,2021-02-17 23:30
1111972,R110,2021-02-17 23:30
1110858,R110,2023-06-16 23:30
1121869,T001,2024-09-12 23:30
1110086,R710,2023-06-16 23:30
1111973,R110,2021-02-17 23:30
1118428,R720,2023-06-16 23:30
7020173,U001,2024-09-12 23:30
1110030,R500,2024-09-12 23:30
1119137,G001,2024-09-12 23:30
1099973,R720,2024-09-12 23:30
1099976,R720,2024-09-12 23:30
1104621,G001,2024-09-12 23:30
1113800,J001,2024-09-12 23:30
1106828,S001,2019-10-21 23:30
1113798,J001,2024-09-12 23:30
1116415,R720,2024-09-12 23:30
1102518,R710,2024-09-12 23:30
1100203,R110,2021-02-18 23:30
1109855,R720,2018-12-24 23:30
7019075,E001,2017-06-19 10:26
1100367,R710,2021-02-18 23:30
1100368,R710,2021-02-18 23:30
1114937,R720,2023-06-16 23:30
1113384,T001,2021-02-18 23:30
1114938,R720,2023-06-16 23:30
1108400,R720,2023-06-16 23:30
1118832,R122,2024-09-12 23:30
1118832,R123,2024-09-12 23:30
1111437,R720,2024-09-12 23:30
1098280,R710,2023-06-17 23:30
1105921,E001,2023-06-17 23:30
1109970,R233,2021-02-18 23:30
1105917,E001,2023-06-17 23:30
1110482,R720,2018-12-26 23:30
7020802,I001,2023-06-19 23:30
1107699,S001,2018-12-26 23:31
1121811,J001,2024-09-12 23:30
1121812,T001,2024-09-12 23:30
1109377,R720,2024-09-12 23:30
1109426,R720,2024-09-12 23:30
1109374,R720,2024-09-12 23:30
1121866,T001,2024-09-12 23:30
1121867,T001,2024-09-12 23:30
1119134,A001,2024-09-12 23:30
1108150,S001,2019-10-21 23:30
1100528,S001,2019-10-21 23:30
1119864,R123,2023-06-19 23:30
1098477,I001,2024-09-12 23:30
1098448,I001,2024-09-12 23:30
1098486,I001,2024-09-12 23:30
1098472,I001,2024-09-12 23:30
1109007,I001,2024-09-12 23:30
1098452,I001,2024-09-12 23:30
1121478,I001,2024-09-12 23:30
1099987,R720,2024-09-13 23:30
1099986,R720,2024-09-13 23:30
1099974,R720,2024-09-13 23:30
1099979,R720,2024-09-13 23:30
1099980,R720,2024-09-13 23:30
1101671,S001,2018-12-27 23:30
1112050,R110,2024-09-13 23:30
1120680,R720,2024-09-13 23:30
1115076,A001,2021-02-19 23:30
1115075,A001,2021-02-19 23:30
1097534,A001,2024-09-13 23:30
1121872,J001,2024-09-13 23:30
1121820,R720,2024-09-13 23:30
1099977,R720,2024-09-13 23:30
1108869,R720,2024-09-13 23:30
1099985,R720,2024-09-13 23:30
1099975,R720,2024-09-13 23:30
1121871,J001,2024-09-13 23:30
1117433,R720,2023-06-19 23:30
1120681,R720,2024-09-13 23:30
1110701,P001,2021-02-19 23:30
1118965,R233,2024-09-13 23:30
1121864,A001,2024-09-19 23:30
1099344,R720,2024-09-13 23:30
1109215,R720,2024-09-13 23:30
1120966,R810,2024-09-19 18:44
1119873,P001,2023-06-20 23:30
