그룹코드(GRP_CODE),그룹명칭(GRP_TEXT),그룹코드사용여부(GRP_CODEUSE)
AA010069,합성수지침목,Y
BB13,동력분산식고속차량(EMU)용품,Y
BB1300,동력분산식고속차량(EMU)용품,Y
BB130001,가스류,Y
BB130002,가스켓,Y
BB130003,감속기,Y
BB130004,감시장치,Y
BB130005,거울,Y
BB130006,거치대,Y
BB130007,경보기,Y
BB130008,경음기,Y
BB130009,경화제,Y
BB130010,계전기,Y
BB130011,공기압축기,Y
BB130012,공기조화장치,Y
BB130013,관재류,Y
BB130014,기록계,Y
BB130015,기어,Y
BB130016,난방기,Y
BB130017,내외장재,Y
BB130018,냉·온수기,Y
BB130019,냉방기,Y
BB130020,너트류,Y
BB130021,다이어후램,Y
BB130022,다이오드,Y
BB130023,닥트,Y
BB130024,단자(대),Y
BB130025,대차,Y
BB130026,댐퍼,Y
BB130027,덥개(COVER),Y
BB130028,도어,Y
BB130029,도유기,Y
BB130030,도장재,Y
BB130031,뚜껑(cap),Y
BB130032,렌지,Y
BB130033,롤러,Y
BB130034,리벳,Y
BB130035,리액터,Y
BB130036,모터,Y
BB130037,몰딩여재,Y
BB130038,못나사류,Y
BB130039,박·판재류,Y
BB130040,반도체,Y
BB130041,발판,Y
BB130042,방송장치,Y
BB130043,배전반,Y
BB130044,배풍기,Y
BB130045,밴드,Y
BB130046,밸브·변,Y
BB130047,베어링,Y
BB130048,변류기,Y
BB130049,변속기,Y
BB130050,변압기,Y
BB130051,변환장치,Y
BB130052,보온재,Y
BB130053,볼트류,Y
BB130054,봉·형재류,Y
BB130055,부싱,Y
BB130056,분전반,Y
BB130057,브라켓,Y
BB130058,브레이크디스크,Y
BB130059,브레이크라이닝,Y
BB130060,브레이크슈,Y
BB130061,블라인드,Y
BB130062,사이리스터,Y
BB130063,살사장치,Y
BB130064,선반(수납),Y
BB130065,선재류,Y
BB130066,세정제,Y
BB130067,센서류,Y
BB130068,셔터,Y
BB130069,소켓,Y
BB130070,송풍기,Y
BB130071,수납함,Y
BB130072,스냅링,Y
BB130073,스위치,Y
BB130074,스프링,Y
BB130075,스피커,Y
BB130076,슬리브,Y
BB130077,씰,Y
BB130078,안정기,Y
